school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
561410,GS ZAZA B,East,Ngoma,Zaza,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,68.82989501953125,1.0,1,0.0,58.0,0.0,76.3014457183128,1.0
561423,EP MPEMBWE,East,Ngoma,Zaza,RURAL,PUBLIC,Preprimary + Primary,76.17021179199219,1.0,1,0.0,64.0,0.0,68.5426624737946,1.0
561424,EP RUHINGA,,,,,,,70.73170471191406,,0,,,,55.5325323872494,1.0
570102,GS Dihiro  TSS,East,Bugesera,Gashora,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + General upper secondary + TVET,51.0,1.0,1,1.0,64.0,1.0,84.00346623415129,2.0
570104,GS GASHORA,East,Bugesera,Gashora,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,64.27657318115234,1.0,1,1.0,58.0,0.0,84.86246149079095,2.0
570106,GS KAGASA-GASHORA,,,,,,,48.67986679077148,,0,,,,73.6616346927319,2.0
570108,GS Mwendo,East,Bugesera,Gashora,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + General upper secondary,47.11538696289062,1.0,1,0.0,64.0,0.0,79.39171769103635,2.0
570113,KABUYE PRIMARY SCHOOL,,,,,,,41.82692337036133,,0,,,,82.2193601312551,1.0
570115,PIONEER SCHOOL,East,Bugesera,Gashora,RURAL,PRIVATE,Preprimary + Primary + Ordinal Level,100.0,1.0,1,0.0,32.0,0.0,,
570117,EP KAYOVU,,,,,,,76.06837463378906,,0,,,,,
570202,EP Gatora,East,Bugesera,Juru,RURAL,PUBLIC,Preprimary + Primary,56.68965530395508,,1,1.0,64.0,0.0,,
570203,EP Juru,East,Bugesera,Juru,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,60.07462692260742,,1,0.0,58.0,1.0,74.8074307767704,1.0
570204,GS Katarara,East,Bugesera,Juru,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,52.05741500854492,1.0,1,1.0,58.0,0.0,80.7405176411689,2.0
570205,EP Mbuye,East,Bugesera,Juru,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,63.90374374389648,,1,0.0,58.0,0.0,79.8528301886792,1.0
570206,GS Rushubi,East,Bugesera,Juru,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,65.58139038085938,,1,1.0,58.0,0.0,81.9651658246441,1.0
570207,GS Rwinume,East,Bugesera,Juru,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,53.81526184082031,,1,0.0,64.0,1.0,73.9555248097158,2.0
570208,EP CYIRABO,East,Bugesera,Juru,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,59.19540405273438,,1,1.0,58.0,0.0,82.5981302056774,1.0
570209,EP MUSOVU,East,Bugesera,Juru,RURAL,PUBLIC,Preprimary + Primary,60.44775772094727,1.0,1,0.0,64.0,0.0,72.3164456293865,1.0
570210,EP KABUKUBA,East,Bugesera,Juru,RURAL,PUBLIC,Preprimary + Primary,53.46534729003906,,1,1.0,64.0,0.0,80.4915094339622,1.0
